구별,강간,강도,살인,절도,폭력,강간 검거율,강도 검거율,살인 검거율,절도 검거율,폭력 검거율,인구수,CCTV,범죄,검거율,범죄발생 수  평균,범죄발생 수 평균
강남구,0.9999999999999998,0.9411764705882352,0.9166666666666666,1.0,1.0,77.73,85.71,76.92,42.86,86.48,570500.0,2780,4.8578431372549025,73.5531106380439,0.9715686274509805,0.9715686274509805
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4675278076785073,0.4379692527708259,78.85,133.33,75.0,33.35,82.89,453233.0,773,1.2866068530695514,80.26182281200884,0.25732137061391025,0.25732137061391025
강북구,0.14697406340057634,0.5294117647058822,0.4166666666666666,0.1331180480803732,0.41544511977118337,82.35,92.86,114.29,43.1,88.64,330192.0,748,1.6416156626246816,83.80717426337465,0.32832313252493633,0.32832313252493633
강서구,0.4610951008645533,0.4705882352941176,0.4166666666666666,0.3706494438464297,0.6149445834823024,72.9,100.0,114.29,60.11,84.75,603772.0,884,2.3339440301540697,85.95786164773293,0.46678880603081396,0.46678880603081396
관악구,0.6282420749279538,0.4117647058823529,0.5833333333333334,0.5895227843559383,0.6474794422595638,69.06,116.67,88.89,30.56,80.11,525515.0,1496,2.860342340759142,76.65479577422757,0.5720684681518284,0.5720684681518284
광진구,0.3976945244956772,0.5294117647058822,0.16666666666666666,0.7043415859346969,0.4068644976760815,91.67,185.71,100.0,42.2,83.05,372164.0,707,2.2049790394790043,100.0,0.44099580789580084,0.44099580789580084
구로구,0.5158501440922191,0.588235294117647,0.5,0.4564047362755651,0.5434393993564532,58.36,73.33,75.0,38.07,80.88,447874.0,1561,2.603929573841884,64.78721922686668,0.5207859147683769,0.5207859147683769
금천구,0.14121037463976946,0.05882352941176466,0.08333333333333334,0.18083961248654468,0.20271719699678226,80.79,100.0,133.33,56.67,86.47,255082.0,1015,0.6669240468681944,90.97347949784135,0.1333848093736389,0.1333848093736389
노원구,0.2737752161383285,0.11764705882352937,0.6666666666666666,0.405453893074991,0.4419020378977475,61.42,100.0,100.0,36.53,85.53,569384.0,1265,1.9054448726012632,76.29468993096313,0.38108897452025264,0.38108897452025264
도봉구,0.0,0.2352941176470588,0.08333333333333334,0.0,0.0,103.92,111.11,100.0,44.97,87.63,348646.0,485,0.3186274509803921,89.05755724887094,0.06372549019607841,0.06372549019607841
동대문구,0.20461095100864551,0.4705882352941176,0.25,0.3293864370290636,0.3793350017876296,84.39,100.0,100.0,41.09,87.4,369496.0,1294,1.6339206251194562,82.14392296520303,0.32678412502389126,0.32678412502389126
동작구,0.5273775216138328,0.2352941176470588,0.25,0.2877646214567635,0.15123346442617092,48.77,55.56,100.0,35.44,83.09,412520.0,1091,1.4516697251438262,64.23412848417325,0.29033394502876525,0.29033394502876525
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5353426623609616,0.5348587772613513,84.01,71.43,100.0,31.82,84.45,389649.0,574,2.6529273253656593,73.95300718222151,0.5305854650731319,0.5305854650731319
서대문구,0.1498559077809798,0.0,0.0,0.2687477574452817,0.2034322488380408,80.52,80.0,100.0,40.73,83.22,327163.0,962,0.6220359140643023,76.49165390048346,0.12440718281286045,0.12440718281286045
서초구,0.8386167146974062,0.2352941176470588,0.5,0.5640473627556513,0.326063639613872,63.36,66.67,75.0,41.4,87.45,450310.0,1930,2.4640218347139884,66.42659610449037,0.49280436694279767,0.49280436694279767
성동구,0.06916426512968299,0.2352941176470588,0.16666666666666666,0.1951919626838895,0.0446907400786557,94.44,88.89,100.0,37.15,86.54,311244.0,1062,0.7110077522059537,80.97805542844637,0.14220155044119073,0.14220155044119073
성북구,0.13832853025936598,0.0,0.25,0.2590599210620739,0.2581337146943153,82.67,80.0,100.0,41.51,83.97,461260.0,1464,0.9055221660157552,77.22380279728627,0.18110443320315103,0.18110443320315103
송파구,0.34005763688760804,0.4705882352941176,0.75,0.780767850735558,0.6464068644976761,80.91,76.92,90.91,34.86,84.55,667483.0,618,2.9878205874149595,73.24473270596661,0.5975641174829919,0.5975641174829919
양천구,0.05187319884726221,0.05882352941176466,0.08333333333333334,0.296734840330104,0.36539149088308903,87.5,50.0,166.67,35.56,80.91,479978.0,2034,0.8561563928055532,83.68780216063506,0.17123127856111064,0.17123127856111064
영등포구,0.5561959654178674,1.0,1.0,0.6820954431288124,0.7454415445119771,62.03,90.91,85.71,33.0,82.89,402985.0,904,3.9837329530586567,70.5369755088236,0.7967465906117314,0.7967465906117314
용산구,0.2651296829971181,0.5294117647058822,0.25,0.17725152493720842,0.2012870933142653,89.18,100.0,100.0,37.7,83.12,244203.0,1624,1.4230800659544742,81.570936872053,0.28461601319089486,0.28461601319089486
은평구,0.18443804034582129,0.2352941176470588,0.08333333333333334,0.3053462504485109,0.4168752234537004,84.94,66.67,100.0,37.15,86.92,494388.0,1873,1.2252869652284248,74.74285259534848,0.24505739304568497,0.24505739304568497
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.4022246142805884,0.2881658920271719,76.3,81.82,83.33,38.32,84.21,162820.0,1002,1.6907860535756591,72.41509659192647,0.33815721071513183,0.33815721071513183
중구,0.19596541786743515,0.2352941176470588,0.08333333333333334,0.5328310010764262,0.26349660350375403,65.29,66.67,66.67,33.71,88.31,133240.0,671,1.3109204734280075,63.794441239082424,0.2621840946856015,0.2621840946856015
중랑구,0.244956772334294,0.35294117647058826,0.9166666666666666,0.384642985288841,0.48623525205577395,79.14,81.82,92.31,38.83,84.55,414503.0,660,2.385442852816164,74.93583749477747,0.47708857056323284,0.47708857056323284
