구별,강간,강도,살인,절도,폭력,강간 검거율,강도 검거율,살인 검거율,절도 검거율,폭력 검거율,인구수,CCTV,범죄,검거율
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,1.0,1.0,77.73,85.71,76.92,42.86,86.48,570500.0,2780,4.857843137254902,369.70000000000005
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4675278076785073,0.4379692527708259,78.85,133.33,75.0,33.35,82.89,453233.0,773,1.2866068530695514,403.42
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.1331180480803732,0.41544511977118337,82.35,92.86,114.29,43.1,88.64,330192.0,748,1.6416156626246816,421.24
강서구,0.46109510086455324,0.4705882352941176,0.41666666666666663,0.37064944384642984,0.6149445834823024,72.9,100.0,114.29,60.11,84.75,603772.0,884,2.3339440301540697,432.05
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5895227843559383,0.6474794422595638,69.06,116.67,88.89,30.56,80.11,525515.0,1496,2.860342340759142,385.29
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.7043415859346969,0.40686449767608146,91.67,185.71,100.0,42.2,83.05,372164.0,707,2.2049790394790043,502.63
구로구,0.515850144092219,0.588235294117647,0.5,0.4564047362755651,0.5434393993564532,58.36,73.33,75.0,38.07,80.88,447874.0,1561,2.603929573841884,325.64
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.18083961248654468,0.20271719699678226,80.79,100.0,133.33,56.67,86.47,255082.0,1015,0.6669240468681944,457.26
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.405453893074991,0.4419020378977475,61.42,100.0,100.0,36.53,85.53,569384.0,1265,1.905444872601263,383.48
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,103.92,111.11,100.0,44.97,87.63,348646.0,485,0.31862745098039214,447.63
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.32938643702906356,0.3793350017876296,84.39,100.0,100.0,41.09,87.4,369496.0,1294,1.6339206251194562,412.88
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2877646214567635,0.15123346442617092,48.77,55.56,100.0,35.44,83.09,412520.0,1091,1.4516697251438262,322.86
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5353426623609616,0.5348587772613513,84.01,71.43,100.0,31.82,84.45,389649.0,574,2.652927325365659,371.71
서대문구,0.1498559077809798,0.0,0.0,0.2687477574452817,0.20343224883804079,80.52,80.0,100.0,40.73,83.22,327163.0,962,0.6220359140643023,384.47
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5640473627556513,0.32606363961387197,63.36,66.67,75.0,41.4,87.45,450310.0,1930,2.4640218347139884,333.88
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.1951919626838895,0.0446907400786557,94.44,88.89,100.0,37.15,86.54,311244.0,1062,0.7110077522059537,407.02
성북구,0.13832853025936598,0.0,0.24999999999999997,0.2590599210620739,0.25813371469431534,82.67,80.0,100.0,41.51,83.97,461260.0,1464,0.9055221660157552,388.15
송파구,0.340057636887608,0.4705882352941176,0.75,0.780767850735558,0.6464068644976761,80.91,76.92,90.91,34.86,84.55,667483.0,618,2.9878205874149595,368.15
양천구,0.051873198847262214,0.05882352941176466,0.08333333333333334,0.296734840330104,0.365391490883089,87.5,50.0,166.67,35.56,80.91,479978.0,2034,0.8561563928055532,420.64
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6820954431288124,0.7454415445119771,62.03,90.91,85.71,33.0,82.89,402985.0,904,3.9837329530586567,354.53999999999996
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.17725152493720842,0.2012870933142653,89.18,100.0,100.0,37.7,83.12,244203.0,1624,1.423080065954474,410.0
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.30534625044851094,0.4168752234537004,84.94,66.67,100.0,37.15,86.92,494388.0,1873,1.2252869652284248,375.68
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.4022246142805884,0.2881658920271719,76.3,81.82,83.33,38.32,84.21,162820.0,1002,1.6907860535756591,363.97999999999996
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5328310010764262,0.26349660350375403,65.29,66.67,66.67,33.71,88.31,133240.0,671,1.3109204734280075,320.65
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.384642985288841,0.486235252055774,79.14,81.82,92.31,38.83,84.55,414503.0,660,2.3854428528161638,376.65
