구별,강간,강도,살인,절도,폭력,강간 검거율,강도 검거율,살인 검거율,절도 검거율,폭력 검거율,인구수,CCTV,범죄 총합,검거율 총합,검거율 총합 상대비교,범죄 총합 상대비교
종로구,0.2569444444444444,0.4285714285714286,0.25,0.3325688073394495,0.352506162695152,480.25210084033614,114.28571428571428,125.0,70.56105610561056,90.87415946205572,159842,1471,1.6205908430504743,880.9730306937166,100.0,44.779483821131535
중구,0.18229166666666666,0.3571428571428571,0.08333333333333333,0.6477064220183487,0.2867707477403452,58.97435897435898,83.33333333333334,50.0,47.68392370572207,84.96357960457856,135321,1544,1.557245026901551,324.95519561799296,36.88594137349574,43.02913890122708
용산구,0.3159722222222222,0.14285714285714285,0.16666666666666669,0.09587155963302753,0.33360723089564503,87.13235294117649,133.33333333333331,100.0,54.45445445445446,89.53831041257368,244953,2063,1.0549748222747044,464.45845114153786,52.721074875107476,29.150620089169472
성동구,0.07465277777777776,0.5714285714285714,0.4166666666666667,0.08256880733944949,0.06984387838948236,72.18045112781955,111.11111111111113,83.33333333333334,52.680412371134025,87.23098995695841,302695,2679,1.2151607016019477,406.5362979003564,46.14628186520442,33.57680886005382
광진구,0.3177083333333333,0.3571428571428571,0.25,0.4977064220183486,0.2584223500410846,78.02197802197803,83.33333333333334,125.0,53.76,85.53696708041014,361923,1581,1.6809799625356234,425.6522784357215,48.31615311771171,46.4481305437475
동대문구,0.13541666666666666,0.6428571428571428,0.4166666666666667,0.3399082568807339,0.30936729663106,85.11904761904762,90.0,100.0,54.016982364467665,92.71623672230652,358679,2003,1.8442160297022696,421.85226670582176,47.88481054563462,50.958600820720626
중랑구,0.08333333333333331,0.21428571428571427,0.7499999999999999,0.40183486238532107,0.5036976170912079,78.26086956521739,125.0,100.0,54.50180072028812,86.0,400989,1068,1.953151527095576,443.7626702855055,50.3718791409616,53.968660617114615
성북구,0.14930555555555552,0.14285714285714285,0.16666666666666669,0.13394495412844032,0.15981922760887435,73.86363636363636,100.0,100.0,67.56007393715342,90.26658400495971,449871,3003,0.7525935468166798,431.6902943057496,49.00153344828477,20.795348004145104
강북구,0.14930555555555552,0.14285714285714285,0.4166666666666667,0.20137614678899085,0.4930156121610517,82.38636363636364,66.66666666666666,100.0,54.02766476810415,91.006600660066,313550,1265,1.4032211240294077,394.08729573120047,44.73318501258534,38.77321526923364
도봉구,0.0,0.2857142857142857,0.0,0.0,0.0,92.22222222222223,100.0,100.0,49.87341772151899,82.84313725490195,329300,858,0.2857142857142857,424.9387771986432,48.23516298382345,7.894736842105264
노원구,0.16319444444444442,0.14285714285714285,0.25,0.3247706422018348,0.5094494658997536,85.86956521739131,100.0,100.0,45.46061415220294,85.95779220779221,529532,1906,1.3902716954031755,417.2879715773864,47.36671351321568,38.4154021098246
은평구,0.18055555555555552,0.0,0.16666666666666669,0.3555045871559633,0.366885784716516,83.50515463917526,100.0,100.0,62.42811501597443,87.71846953235712,485842,2962,1.0696125940947017,433.6517391875068,49.224178729515764,29.555084836827287
서대문구,0.14756944444444442,0.2857142857142857,0.08333333333333333,0.2,0.12777321281840592,88.0,100.0,50.0,48.939641109298535,82.08469055374594,323860,2121,0.8443902763104694,369.0243316630445,41.88826658773636,23.331836582262973
마포구,0.703125,0.07142857142857142,0.08333333333333333,0.6422018348623854,0.3816762530813476,84.24242424242424,100.0,100.0,41.87214611872146,85.09057129586623,383494,1935,1.8817649927056377,411.205141657012,46.67624630157079,51.99613795634001
양천구,0.0642361111111111,0.07142857142857142,0.4166666666666667,0.3151376146788991,0.15529991783073127,88.18897637795277,100.0,100.0,42.924847664184156,85.51810237203495,460048,2775,1.0227688817159797,416.6319264141719,47.292245267269735,28.260719100046817
강서구,0.375,0.14285714285714285,0.5833333333333333,0.5779816513761468,0.5476581758422351,83.98692810457517,133.33333333333331,112.5,52.536585365853654,85.88189284317559,589536,1617,2.2268303034088577,468.2387396469377,53.15017864715178,61.530837331034235
구로구,0.2361111111111111,0.14285714285714285,0.7499999999999999,0.51651376146789,0.5456039441248973,73.00884955752213,133.33333333333331,90.0,50.36534446764093,84.1692789968652,435751,3227,2.191085959561041,430.8768063553616,48.909193737300946,60.5431646720814
금천구,0.109375,0.6428571428571428,0.4166666666666667,0.16834862385321106,0.2280197206244865,82.35294117647058,60.0,100.0,53.15471045808125,89.3760539629005,249641,1634,1.5652671540015068,384.8837055974524,43.688477647763875,43.25080293951533
영등포구,0.4618055555555554,0.14285714285714285,0.7499999999999999,0.7426605504587157,0.7469186524239934,67.13483146067415,100.0,100.0,44.33374844333749,81.09796186719264,405982,2495,2.8442419012954074,392.56654177120424,44.56056293370073,78.59089464105733
동작구,0.27951388888888884,0.0,0.25,0.2467889908256881,0.2432210353327855,43.824701195219106,100.0,50.0,43.599397590361434,82.76431718061673,404617,1780,1.0195239150473625,320.18841596619734,36.34486015015318,28.17105554736134
관악구,0.5520833333333333,0.6428571428571428,1.0,0.6573394495412844,0.5957271980279376,82.1078431372549,110.0,76.92307692307693,48.80791722896986,88.59386686611818,514555,3985,3.4480071237596985,406.4327041554199,46.13452285087287,95.27388105125485
서초구,0.9131944444444444,0.4285714285714286,0.3333333333333333,0.6788990825688074,0.5834018077239113,66.88311688311688,71.42857142857143,100.0,49.25110132158591,83.58547655068078,429995,2835,2.937400096641925,371.148266183955,42.12935620647736,81.165002670369
강남구,1.0,0.2857142857142857,0.3333333333333333,1.0,1.0,84.38438438438438,120.0,60.0,45.08417508417508,86.35866593767084,544085,5221,3.619047619047618,395.82722540623024,44.9306859137945,100.0
송파구,0.3177083333333333,0.6428571428571428,0.5,0.7458715596330275,0.7263763352506162,84.24908424908425,100.0,114.28571428571428,42.05298013245033,84.72593582887701,676673,1586,2.93281337107412,425.3137144961259,48.2777224362039,81.03826420073229
강동구,0.15625,1.0,0.4166666666666667,0.3944954128440367,0.385784716516023,86.11111111111109,93.33333333333331,83.33333333333334,54.96969696969697,86.63892741562643,462275,1879,2.3531967960267264,404.38640216310114,45.90224536665664,65.02254304810693
